什么	shen me
重罪地	zhong zui de
粘结地	nian jie de
着火地	zhao huo de
巴巴地	ba ba de
白白地	bai bai de
爆发地	bao fa de
爆炸地	bao zha de
奔放地	ben fang de
不假地	bu jia de
不宁地	bu ning de
不时地	bu shi de
成荫地	cheng yin de
吃吃地	chi chi de
吃力地	chi li de
冲动地	chong dong de
处处地	chu chu de
刺穿地	ci chuan de
刺骨地	ci gu de
刺痛地	ci tong de
催化地	cui hua de
打采地	da cai de
倒霉地	dao mei de
到处地	dao chu de
刁难地	diao nan de
多雨地	duo yu de
发达地	fa da de
发明地	fa ming de
发怒地	fa nu de
发青地	fa qing de
发烧地	fa shao de
发展地	fa zhan de
烦闷地	fan men de
反相地	fan xiang de
分发地	fen fa de
分光地	fen guang de
分配地	fen pei de
分批地	fen pi de
敷衍地	fu yan de
更加地	geng jia de
过量地	guo liang de
好久地	hao jiu de
好看地	hao kan de
好乱地	hao luan de
好胜地	hao sheng de
好听地	hao ting de
耗尽地	hao jin de
喝彩地	he cai de
哄骗地	hong pian de
化脓地	hua nong de
化学地	hua xue de
混蛋地	hun dan de
极难地	ji nan de
集体地	ji ben de
几倍地	ji bei de
计量地	ji liang de
假笑地	jia xiao de
间隔地	jian ge de
间或地	jian huo de
兼任地	jian ren de
渐快地	jian kuai de
渐弱地	jian ruo de
渐少地	jian shao de
叫嚷地	jiao rang de
较早地	jiao zao de
教养地	jiao yang de
节日地	jie ri de
竭尽地	jie jin de
尽力地	jin li de
尽情地	jin qing de
尽兴地	jin xing de
禁止地	jin zhi de
纠结地	jiu jie de
拘泥地	gou ni de
可贺地	ke he de
可教地	ke jiao de
可口地	ke kou de
可忍地	ke ren de
可惜地	ke xi de
客观地	ke guan de
空空地	kong kong de
空前地	kong qian de
空载地	kong zai de
阔阔地	kuo kuo de
牢固地	lao gu de
累积地	lei ji de
楞楞地	leng leng de
立体地	li ben de
连结地	lian jie de
连载地	lian zai de
淋湿地	lin shi de
凌乱地	ling luan de
流体地	liu ben de
蛮横地	man heng de
猛冲地	meng chong de
绵绵地	mian mian de
描写地	miao xie de
难熬地	nan ao de
难辨地	nan bian de
难懂地	nan dong de
难堪地	nan kan de
难忘地	nan wang de
难信地	nan shen de
难驯地	nan xun de
难驭地	nan yu de
喃喃地	nan nan de
宁静地	ning jing de
凝神地	ning shen de
批判地	pi pan de
漂浮地	piao fu de
频频地	bin bin de
启发地	qi fa de
悄然地	qiao ran de
怯怯地	qie qie de
轻声地	qing sheng de
轻盈地	qing ying de
清醒地	qing xing de
忍从地	ren cong de
认可地	ren ke de
如刺地	ru ci de
撒野地	sa ye de
讪讪地	shan shan de
少许地	shao hu de
深切地	shen qie de
深情地	shen qing de
时间地	shi jian de
死死地	si si de
四散地	si san de
腾腾地	teng teng de
体操地	ben cao de
体镜地	ben jing de
体视地	ben shi de
体外地	ben wai de
天体地	tian ben de
甜甜地	tian tian de
挑拨地	tiao bo de
通顺地	tong shun de
通则地	tong ze de
同相地	tong xiang de
同意地	tong yi de
突发地	tu fa de
团团地	tuan tuan de
哇哇地	wa wa de
歪歪地	wai wai de
微微地	wei wei de
萎靡地	wei mi de
下雨地	xia yu de
相斥地	xiang chi de
相容地	xiang rong de
相异地	xiang yi de
响应地	xiang ying de
协同地	xie tong de
协作地	xie zuo de
幸好地	xing hao de
虚假地	xu jia de
压倒地	ya dao de
哑然地	ya ran de
严正地	yan zheng de
遥遥地	yao yao de
异相地	yi xiang de
隐隐地	yin yin de
应答地	ying da de
用尽地	yong jin de
幽幽地	you you de
油滑地	you hua de
黝黑地	you hei de
镇压地	zhen ya de
正好地	zheng hao de
正经地	zheng jing de
正切地	zheng qie de
正向地	zheng xiang de
枝节地	qi jie de
只是地	zhi shi de
中立地	zhong li de
谆谆地	zhun zhun de
纵排地	zong pai de
足足地	zu zu de
作对地	zuo dui de
不退色	bu tui shai
肠出血	chang chu xie
肺出血	fei chu xie
洒狗血	sa gou xie
使出血	shi chu xie
天出血	tian chu xie
胃出血	wei chu xie
一行行	yi hang hang
乐器行	yue qi hang
打字行	da zi hang
代理行	dai li hang
电料行	dian liao hang
电器行	dian qi hang
菲央行	fei yang hang
工商行	gong shang hang
很内行	hen na hang
建材行	jian cai hang
开银行	kai yin hang
老本行	lao ben hang
泪千行	lei qian hang
木材行	mu cai hang
木料行	mu liao hang
农发行	nong fa hang
陪同行	pei tong hang
批发行	pi fa hang
器材行	qi cai hang
抢银行	cheng yin hang
全武行	quan wu hang
三商行	san shang hang
瓦斯行	wa si hang
委托行	wei tuo hang
文具行	wen ju hang
五金行	wu jin hang
小银行	xiao yin hang
蓄银行	xu yin hang
珠宝行	zhu bao hang
我仿佛	wo fang fu
男丑角	nan chou jue
男配角	nan pei jue
女配角	nv pei jue
演主角	yan zhu jue
变暖和	bian nuan huo
很软和	hen ruan huo
使暖和	shi nuan huo
西纳於	xi na wu
各湖泊	ge hu po
为目的	wei mu di
有面的	you mian di
类兰若	lei lan re
使投降	shi tou xiang
出公差	chu gong chai
当听差	dang ting chai
干苦差	gan gu chai
朱由校	shu you jiao
萝卜乾	luo bo gan
豆腐乾	dou fu gan
桂圆乾	gui yuan gan
龙眼乾	long yan gan
芒果乾	mang guo gan
葡萄乾	pu tao gan
咸菜乾	xian cai gan
竹笋乾	zhu sun gan
歇一宿	xie yi xiu
不坦率	bu tan shuai
李子脯	li zi fu
打喳喳	da cha cha
十里堡	shi li pu
瓦窑堡	wa yao bu
郭法曾	guo fa zeng
李法曾	li fa zeng
捡洋落	jian yang lao
反复辟	fan fu bi
钢锭模	gang ding mu
纸很薄	zhi hen bao
老西藏	lao xi zang
青康藏	qing kang zang
弹拨乐	tan bo yue
电声乐	dian sheng yue
声音乐	sheng yin yue
笙管乐	sheng guan yue
听音乐	ting yin yue
铜管乐	tong guan yue
学音乐	xue yin yue
有音乐	you yin yue
指音乐	zhi yin yue
列女传	lie nv zhuan
烈女传	lie nv zhuan
下死劲	xia si jing
南沙参	na sha shen
北沙参	bei sha shen
发海参	fa hai shen
华山参	hua shan shen
蓝花参	lan hua shen
明党参	ming dang shen
土党参	tu dang shen
珠子参	zhu zi shen
竹节参	zhu jie shen
可威吓	ke wei he
扯乱弹	che luan tan
趁反弹	chen fan tan
抢反弹	cheng fan tan
使倔强	shi jue jiang
被厌恶	bei ya wu
表厌恶	biao ya wu
极厌恶	ji ya wu
真可恶	zhen ke wu
使沉没	shi chen mo
相出没	xiang chu mo
在出没	zai chu mo
猜不着	cai bu zhao
够不着	gou bu zhao
摸不着	mo bu zhao
再附着	zai fu zhuo
非对称	fei dui chen
双对称	shuang dui chen
准对称	zhun dui chen
归还给	gui huan ji
不睡觉	bu shui jiao
囫囵觉	hu lun jiao
睡懒觉	shui lan jiao
睡晌觉	shui shang jiao
睡睡觉	shui shui jiao
睡一觉	shui yi jiao
非移调	fei yi tiao
使失调	shi shi tiao
相协调	xiang xie tiao
相谐调	xiang xie tiao
总协调	zong xie tiao
吉里贾	ji li gu
佩鲁贾	pei lu gu
不偿还	bu chang huan
归归还	gui gui huan
副行长	fu hang zhang
财务长	cai wu zhang
代部长	dai bu zhang
代市长	dai shi zhang
道班长	dao ban zhang
副舰长	fu jian zhang
副首长	fu shou zhang
副司长	fu si zhang
副厅长	fu ting zhang
副议长	fu yi zhang
副州长	fu zhou zhang
港务长	gang wu zhang
高成长	gao cheng zhang
高增长	gao zeng zhang
官房长	guan fang zhang
官室长	guan shi zhang
海关长	hai guan zhang
航海长	hang hai zhang
检录长	jian lu zhang
较年长	jiao nian zhang
纠察长	jiu cha zhang
局局长	ju ju zhang
军医长	jun yi zhang
开发长	kai fa zhang
开始长	kai shi zhang
口警长	kou jing zhang
快要长	kuai yao zhang
老师长	lao shi zhang
连连长	lian lian zhang
链增长	lian zeng zhang
林县长	lin xian zhang
零增长	ling zeng zhang
旅游长	lv you zhang
轮船长	lun chuan zhang
买成长	mai cheng zhang
猛增长	meng zeng zhang
苗子长	miao zi zhang
内部长	na bu zhang
内助长	na chu zhang
男户长	nan hu zhang
年增长	nian zeng zhang
女村长	nv cun zhang
女院长	nv yuan zhang
排排长	pai pai zhang
彭县长	bang xian zhang
平局长	ping ju zhang
评判长	ping pan zhang
前生长	qian sheng zhang
去年长	qu nian zhang
全年长	quan nian zhang
泉州长	quan zhou zhang
人生长	ren sheng zhang
任县长	ren xian zhang
荣县长	rong xian zhang
如兄长	ru xiong zhang
沙市长	sha shi zhang
上生长	shang sheng zhang
审计长	shen ji zhang
使成长	shi cheng zhang
使团长	shi tuan zhang
士官长	shi guan zhang
侍卫长	shi wei zhang
视察长	shi cha zhang
书记长	shu ji zhang
署记长	shu ji zhang
双增长	shuang zeng zhang
体外长	ben wai zhang
铁局长	tie ju zhang
同学长	tong xue zhang
头增长	tou zeng zhang
为首长	wei shou zhang
伪县长	wei xian zhang
卫队长	wei dui zhang
卫士长	wei shi zhang
吴县长	wu xian zhang
县市长	xian shi zhang
现局长	xian ju zhang
乡镇长	xiang zhen zhang
小队长	xiao dui zhang
小鸡长	xiao ji zhang
小麦长	xiao mai zhang
小生长	xiao sheng zhang
小猪长	xiao zhu zhang
新生长	xin sheng zhang
新县长	xin xian zhang
新增长	xin zeng zhang
学院长	xue yuan zhang
杨部长	yang bu zhang
一处长	yi chu zhang
一次长	yi ci zhang
一年长	yi nian zhang
一直长	yi zhi zhang
抑制长	yi zhi zhang
鱼雷长	yu lei zhang
再增长	zai zeng zhang
站站长	zhan zhan zhang
侦探长	zhen tan zhang
政首长	zheng shou zhang
支队长	zhi dui zhang
值班长	zhi ban zhang
指挥长	zhi hui zhang
指教长	zhi jiao zhang
中队长	zhong dui zhang
主计长	zhu ji zhang
自动长	zi dong zhang
自己长	zi ji zhang
总裁长	zong cai zhang
总队长	zong dui zhang
总工长	zong gong zhang
总局长	zong ju zhang
总社长	zong she zhang
总生长	zong sheng zhang
总司长	zong si zhang
总团长	zong tuan zhang
总务长	zong wu zhang
张玄靓	zhang xuan jing
斗较颉	dou jiao xie
毫蟹颉	hao xie xie
不了情	bu liao qing
到了儿	dao liao er
起了枪	qi liao qiang
私了风	si liao feng
未了情	wei liao qing
未了缘	wei liao yuan
有了法	you liao fa
萝卜各	luo bo ge
萝卜花	luo bo hua
萝卜丝	luo bo si
萝卜腿	luo bo tui
康大夫	kang dai fu
土大黄	tu dai huang
着手于	zhuo shou yu
包扎法	bao za fa
贝扎人	bei za ren
结扎户	jie za hu
浪卡子	lang qia zi
码卡子	ma qia zi
屈戌儿	qu qu er
中牟县	zhong mu xian
调色刀	tiao shai dao
玻色子	bo shai zi
八行书	ba hang shu
八行纸	ba hang zhi
等行业	deng hang ye
隔行打	ge hang da
建行就	jian hang jiu
健行队	jian hang dui
内行话	na hang hua
内行人	na hang ren
排行榜	pai hang bang
排行表	pai hang biao
排行站	pai hang zhan
品行业	pin hang ye
起行业	qi hang ye
十行纸	shi hang zhi
十行字	shi hang zi
穗行法	sui hang fa
同行们	tong hang men
外行话	wai hang hua
小行情	xiao hang qing
性行业	xing hang ye
一行业	yi hang ye
一行子	yi hang zi
一行字	yi hang zi
银行法	yin hang fa
银行机	yin hang ji
银行界	yin hang jie
银行局	yin hang ju
银行司	yin hang si
银行站	yin hang zhan
银行制	yin hang zhi
在行业	zai hang ye
整行字	zheng hang zi
仿佛在	fang fu zai
跟尾儿	gen yi er
后尾儿	hou yi er
马尾儿	ma yi er
唇系带	chun ji dai
傍角儿	bang jue er
旦角儿	dan jue er
坤角儿	kun jue er
名角儿	ming jue er
女角儿	nv jue er
配角儿	pei jue er
捧角儿	peng jue er
替角儿	ti jue er
主角儿	zhu jue er
脑卒中	nao cu zhong
捏和机	nie huo ji
暖和棒	nuan huo bang
匀和器	yun huo qi
杂和菜	za huo cai
杂和面	za huo mian
湖泊相	hu po xiang
标的物	biao di wu
目的港	mu di gang
目的盘	mu di pan
目的是	mu di shi
目的税	mu di shui
目的物	mu di wu
目的在	mu di zai
目的站	mu di zhan
坐的士	zuo di shi
黄陂县	huang pi xian
黄芫花	huang yuan hua
捡便宜	jian pian yi
吡咯啉	bi luo lan
吡咯烷	bi luo wan
总巷道	zong hang dao
测度标	ce duo biao
测度法	ce duo fa
测度计	ce duo ji
测度论	ce duo lun
测度器	ce duo qi
西柏林	xi bo lin
内省法	na xing fa
般若经	bo re jing
着重于	zhuo zhong yu
劝降书	quan xiang shu
沙埔村	sha bu cun
出差费	chu chai fei
公差费	gong chai fei
旅差费	lv chai fei
初校样	chu jiao yang
软校验	ruan jiao yan
自校正	zi jiao zheng
自校准	zi jiao zhun
乳臭儿	ru xiu er
铜臭气	tong xiu qi
起圈子	qi juan zi
八宿县	ba xiu xian
非得找	fei dei zhao
总得有	zong dei you
统率力	tong shuai li
姬祭仲	ji zhai zhong
重粘土	zhong nian tu
使粘结	shi nian jie
花朝节	hua zhao jie
瞎琢磨	xia zuo mo
复辟录	fu bi lu
姬辟方	ji bi fang
宋辟公	song bi gong
桑葚儿	sang ren er
触模板	chu mu ban
字模板	zi mu ban
压蔓儿	ya wan er
生薄膜	sheng bao mo
砼薄壁	tong bao bi
西藏产	xi zang chan
西藏路	xi zang lu
西藏热	xi zang re
西藏文	xi zang wen
咀嚼出	ju jue chu
咀嚼物	ju jue wu
咀嚼型	ju jue xing
咀嚼者	ju jue zhe
露露脸	lou lou lian
里露出	li lou chu
使露出	shi lou chu
爱乐社	ai yue she
歌乐舞	ge yue wu
古乐曲	gu yue qu
鼓乐声	gu yue sheng
管乐队	guan yue dui
国乐社	guo yue she
国乐团	guo yue tuan
簧乐器	huang yue qi
军乐团	jun yue tuan
民乐器	min yue qi
民乐乡	min yue xiang
配乐师	pei yue shi
器乐曲	qi yue qu
声乐队	sheng yue dui
声乐器	sheng yue qi
音乐课	yin yue ke
音乐盲	yin yue mang
音乐迷	yin yue mi
音乐品	yin yue pin
音乐声	yin yue sheng
音乐史	yin yue shi
音乐室	yin yue shi
音乐书	yin yue shu
音乐团	yin yue tuan
音乐味	yin yue wei
音乐营	yin yue ying
音乐院	yin yue yuan
奏乐队	zou yue dui
奏乐用	zou yue yong
副会计	fu kuai ji
总会计	zong kuai ji
小传记	xiao zhuan ji
自传体	zi zhuan ben
自传性	zi zhuan xing
伛偻腰	yu lv yao
什刹海	shi cha hai
一刹儿	yi cha er
清劲风	qing jing feng
丹参饮	dan shen yin
海参威	hai shen wei
人参根	ren shen gen
人参精	ren shen jing
人参酒	ren shen jiu
人参芦	ren shen lu
雪参包	xue shen bao
洋参丸	yang shen wan
恐吓信	kong he shen
恐吓性	kong he xing
恐吓罪	kong he zui
威吓物	wei he wu
甲壳纲	jia qiao gang
甲壳质	jia qiao zhi
反弹簧	fan tan huang
反弹力	fan tan li
反弹球	fan tan qiu
非弹性	fei tan xing
高弹力	gao tan li
高弹性	gao tan xing
黏弹性	nian tan xing
片弹簧	pian tan huang
使弹回	shi tan hui
一弹指	yi tan zhi
厌恶等	ya wu deng
苍术苷	cang zhu gan
莪术油	e zhu you
沉没于	chen mo yu
出没于	chu mo yu
罚没款	fa mo kuan
浸没法	jin mo fa
淹没在	yan mo zai
发疟子	fa yao zi
乾着急	gan zhao ji
粘着剂	nian zhuo ji
粘着力	nian zhuo li
粘着性	nian zhuo xing
粘着语	nian zhuo yu
甭着急	beng zhao ji
别着急	bie zhao ji
不着急	bu zhao ji
沉着脸	chen zhuo lian
对着迷	dui zhao mi
多着丝	duo zhuo si
附着点	fu zhuo dian
附着性	fu zhuo xing
附着在	fu zhuo zai
高着儿	gao zhao er
很着急	hen zhao ji
胶着战	jiao zhuo zhan
看着火	kan zhao huo
两着儿	liang zhao er
黏着剂	nian zhuo ji
黏着性	nian zhuo xing
使着火	shi zhao huo
使着魔	shi zhao mo
一着棋	yi zhao qi
衣着费	yi zhuo fei
正着急	zheng zhao ji
执着性	zhi zhuo xing
中着丝	zhong zhuo si
对称表	dui chen biao
对称格	dui chen ge
对称机	dui chen ji
对称集	dui chen ji
对称结	dui chen jie
对称群	dui chen qun
对称态	dui chen tai
对称图	dui chen tu
对称型	dui chen xing
匀称者	yun chen zhe
回纥兵	hui he bing
回纥军	hui he jun
回纥族	hui he zu
还给我	huan ji wo
睡觉时	shui jiao shi
手调节	shou tiao jie
手调谐	shou tiao xie
手调整	shou tiao zheng
带调节	dai tiao jie
带调整	dai tiao zheng
反调制	fan tiao zhi
幅调节	fu tiao jie
钙调素	gai tiao su
互调变	hu tiao bian
静调节	jing tiao jie
空调村	kong tiao cun
空调化	kong tiao hua
空调间	kong tiao jian
空调器	kong tiao qi
空调室	kong tiao shi
轮调法	lun tiao fa
轮调制	lun tiao zhi
内调制	na tiao zhi
配调法	pei tiao fa
烹调品	peng tiao pin
烹调赛	peng tiao sai
烹调业	peng tiao ye
烹调用	peng tiao yong
欠调整	qian tiao zheng
人调情	ren tiao qing
双调谐	shuang tiao xie
外调制	wai tiao zhi
微调阀	wei tiao fa
微调节	wei tiao jie
为调音	wei tiao yin
未调节	wei tiao jie
误调整	wu tiao zheng
细调节	xi tiao jie
协调法	xie tiao fa
协调局	xie tiao ju
协调型	xie tiao xing
协调性	xie tiao xing
谐调法	xie tiao fa
预调节	yu tiao jie
自调谐	zi tiao xie
自调制	zi tiao zhi
总调控	zong tiao kong
猜谜儿	cai mei er
破谜儿	po mei er
笆贾站	ba gu zhan
马贾利	ma gu li
偿还额	chang huan e
偿还日	chang huan ri
光还原	guang huan yuan
送还到	song huan dao
往还于	wang huan yu
许还山	hu huan shan
不长进	bu zhang jin
成长性	cheng zhang xing
船长室	chuan zhang shi
嫡长子	di zhang zi
副长官	fu zhang guan
杀长辈	sha zhang bei
生长力	sheng zhang li
生长型	sheng zhang xing
生长在	sheng zhang zai
生长锥	sheng zhang zhui
首长院	shou zhang yuan
徒长枝	tu zhang qi
团长法	tuan zhang fa
团长站	tuan zhang zhan
外长法	wai zhang fa
外长赛	wai zhang sai
兄长者	xiong zhang zhe
学长制	xue zhang zhi
院长赛	yuan zhang sai
增长额	zeng zhang e
增长极	zeng zhang ji
增长年	zeng zhang nian
增长图	zeng zhang tu
增长性	zeng zhang xing
增长源	zeng zhang yuan
助长部	chu zhang bu
总长命	zong zhang ming
脖颈儿	bo geng er
脖颈子	bo geng zi
盎颉笔	ang xie bi
骡驮子	luo duo zi
了关于	liao guan yu
了机器	liao ji qi
了基本	liao ji ben
了基础	liao ji chu
了居礼	liao ju li
了局部	liao ju bu
了事儿	liao shi er
了事业	liao shi ye
了视野	liao shi ye
了天晴	liao tian qing
了望所	liao wang suo
了一定	liao yi ding
了一个	liao yi ge
了一件	liao yi jian
了一下	liao yi xia
了以下	liao yi xia
大城县	dai cheng xian
大黄散	dai huang san
扎辫子	za bian zi
扎筏子	za fa zi
扎起来	za qi lai
卡森城	ken sen cheng
牟平县	mu ping xian
血糊糊	xie hu hu
血块子	xie kuai zi
行负荷	hang fu he
行规则	hang gui ze
行间隔	hang jian ge
行情表	hang qing biao
行情式	hang qing shi
行市场	hang shi chang
行外话	hang wai hua
行业语	hang ye yu
伽里略	jia li lve
伽椰琴	jia ye qin
刨出来	pao chu lai
刨分儿	pao fen er
刨根儿	pao gen er
刨祖坟	pao zu fen
角斗场	jue dou chang
角力记	jue li ji
角力赛	jue li sai
奇偶环	ji ou huan
奇偶码	ji ou ma
於表达	wu biao da
於贫困	wu pin kun
泌阳县	bi yang xian
的确凉	di que liang
的确是	di que shi
的士高	di shi gao
阿堵物	e du wu
枸橼酸	ju yuan suan
柏格森	bo ge sen
柏林墙	bo lin qiang
柏林人	bo lin ren
食而康	si er kang
校雠学	jiao chou xue
校验法	jiao yan fa
校验列	jiao yan lie
校验位	jiao yan wei
校阅者	jiao yue zhe
校正本	jiao zheng ben
校正器	jiao zheng qi
校正项	jiao zheng xiang
校正仪	jiao zheng yi
校准板	jiao zhun ban
校准杯	jiao zhun bei
校准比	jiao zhun bi
校准规	jiao zhun gui
校准器	jiao zhun qi
校准者	jiao zhun zhe
畜牧病	xu mu bing
畜牧场	xu mu chang
畜牧局	xu mu ju
畜牧群	xu mu qun
畜牧司	xu mu si
畜牧厅	xu mu ting
畜牧者	xu mu zhe
蚌埠市	beng bu shi
乾巴巴	gan ba ba
乾打雷	gan da lei
乾瞪眼	gan deng yan
乾弟弟	gan di di
乾儿子	gan er zi
乾哥哥	gan ge ge
乾个够	gan ge gou
乾妹妹	gan mei mei
乾女儿	gan nv er
勒脖子	lei bo zi
尉犁县	yu li xian
得看看	dei kan kan
率领部	shuai ling bu
盛过来	cheng guo lai
盛过去	cheng guo qu
脯氨酸	fu an suan
雀儿山	qiao er shan
粘结剂	nian jie ji
粘结性	nian jie xing
粘液菌	nian ye jun
莨菪胺	lang dang an
莨菪硷	lang dang jian
莨菪子	lang dang zi
曾航生	zeng hang sheng
曾近荣	zeng jin rong
曾孙女	zeng sun nv
曾伟权	zeng wei quan
曾文溪	zeng wen xi
曾宪梓	zeng xian zi
曾祖母	zeng zu mu
嗨呀呀	hei ya ya
落包涵	lao bao han
落枕穴	lao zhen xue
膀胱癌	pang guang ai
模板宏	mu ban hong
模样儿	mu yang er
澄浆泥	deng jiang ni
薄板坯	bao ban pi
薄膜棒	bao mo bang
薄膜阀	bao mo fa
薄膜裤	bao mo ku
薄透镜	bao tou jing
藏历年	zang li nian
藏民族	zang min zu
藏青果	zang qing guo
藏医药	zang yi yao
藏医院	zang yi yuan
藏语文	zang yu wen
露光计	lou guang ji
露馅儿	lou xian er
乐府诗	yue fu shi
乐谱架	yue pu jia
乐器室	yue qi shi
乐清县	yue qing xian
乐曲声	yue qu sheng
乐章集	yue zhang ji
会计部	kuai ji bu
会计簿	kuai ji bo
会计处	kuai ji chu
会计法	kuai ji fa
会计股	kuai ji gu
会计机	kuai ji ji
会计界	kuai ji jie
会计司	kuai ji si
会计帐	kuai ji zhang
会计账	kuai ji zhang
传记片	zhuan ji pian
传记式	zhuan ji shi
传记性	zhuan ji xing
冯格庄	ping ge zhuang
冯健身	ping jian shen
冯湾村	ping wan cun
冯小刚	ping xiao gang
冯永生	ping yong sheng
参芦饮	shen lu yin
参苏饮	shen su yin
壳斗果	qiao dou guo
属意于	zhu yi yu
弹不出	tan bu chu
弹不来	tan bu lai
弹出来	tan chu lai
弹出去	tan chu qu
弹过来	tan guo lai
弹过去	tan guo qu
弹劾法	tan he fa
弹劾权	tan he quan
弹簧板	tan huang ban
弹簧床	tan huang chuang
弹簧刀	tan huang dao
弹簧垫	tan huang dian
弹簧钩	tan huang gou
弹簧椅	tan huang yi
弹簧组	tan huang zu
弹簧座	tan huang zuo
弹回来	tan hui lai
弹回去	tan hui qu
弹力裤	tan li ku
弹力丝	tan li si
弹棉花	tan mian hua
弹起来	tan qi lai
弹上来	tan shang lai
弹上去	tan shang qu
弹跳板	tan tao ban
弹跳力	tan tao li
弹下来	tan xia lai
弹下去	tan xia qu
弹性波	tan xing bo
弹性计	tan xing ji
弹性胶	tan xing jiao
弹性力	tan xing li
弹性硫	tan xing liu
弹性论	tan xing lun
弹性值	tan xing zhi
弹指间	tan zhi jian
弹奏法	tan zou fa
强脾气	jiang pi qi
择不开	zhai bu kai
攒钱罐	zan qian guan
枞阳县	zong yang xian
没药树	mo yao shu
浒墅关	xu shu guan
珲春市	hun chun shi
珲春县	hun chun xian
着边儿	zhao bian er
着力面	zhuo li mian
着迷于	zhao mi yu
着迷者	zhao mi zhe
着丝粒	zhuo si li
着作权	zhu zuo quan
着作人	zhu zuo ren
绿林军	lu lin jun
缉鞋口	qi xie kou
调幅波	tiao fu bo
调幅器	tiao fu qi
调幅台	tiao fu tai
调光师	tiao guang shi
调画出	tiao hua chu
调剂金	tiao ji jin
调剂品	tiao ji pin
调焦距	tiao jiao ju
调节板	tiao jie ban
调节棒	tiao jie bang
调节表	tiao jie biao
调节部	tiao jie bu
调节槽	tiao jie cao
调节帆	tiao jie fan
调节费	tiao jie fei
调节级	tiao jie ji
调节室	tiao jie shi
调节司	tiao jie si
调节图	tiao jie tu
调节性	tiao jie xing
调节异	tiao jie yi
调节者	tiao jie zhe
调控性	tiao kong xing
调料壶	tiao liao hu
调料库	tiao liao ku
调配法	tiao pei fa
调皮蛋	tiao pi dan
调皮鬼	tiao pi gui
调频器	tiao bin qi
调频台	tiao bin tai
调起来	tiao qi lai
调情者	tiao qing zhe
调试工	tiao shi gong
调速器	tiao su qi
调速箱	tiao su xiang
调停法	tiao ting fa
调头寸	tiao tou cun
调位子	tiao wei zi
调味罐	tiao wei guan
调味剂	tiao wei ji
调味酱	tiao wei jiang
调味用	tiao wei yong
调五事	tiao wu shi
调谐到	tiao xie dao
调谐器	tiao xie qi
调音器	tiao yin qi
调整板	tiao zheng ban
调整到	tiao zheng dao
调整杆	tiao zheng gan
调整好	tiao zheng hao
调整栏	tiao zheng lan
调整片	tiao zheng pian
调整前	tiao zheng qian
调整性	tiao zheng xing
调制波	tiao zhi bo
调制法	tiao zhi fa
调制剂	tiao zhi ji
调治法	tiao zhi fa
调准到	tiao zhun dao
贾春旺	gu chun wang
贾夫纳	gu fu na
贾鲁河	gu lu he
贾庆林	gu qing lin
贾文先	gu wen xian
贾治邦	gu zhi bang
还不起	huan bu qi
还獾绻	huan huan quan
还魂记	huan hun ji
还鄄炝	huan juan qiang
还谧次	huan mi ci
还欠款	huan qian kuan
还上来	huan shang lai
还上去	huan shang qu
还实盘	huan shi pan
还讨吹	huan tao chui
还阳草	huan yang cao
还冤记	huan yuan ji
还原槽	huan yuan cao
还原点	huan yuan dian
还原法	huan yuan fa
还原硫	huan yuan liu
还原酶	huan yuan mei
还原篇	huan yuan pian
还债务	huan zhai wu
长辈学	zhang bei xue
长出来	zhang chu lai
长厚者	zhang hou zhe
长起来	zhang qi lai
长孙女	zhang sun nv
长者站	zhang zhe zhan
长子县	zhang zi xian
颤栗者	zhan li zhe
纯音乐	chun yin yue
不甚了了	bu shen liao liao
小时了了	xiao shi liao liao
不了而了	bu liao er liao
可得完了	ke dei wan liao
动弹不了	dong tan bu liao
了犹未了	liao you wei liao
比赛完了	bi sai wan liao
躲避不了	duo bi bu liao
更忘不了	geng wang bu liao
简洁明了	jian jie ming liao
可少不了	ke shao bu liao
清晰明了	qing xi ming liao
伸展不了	shen zhan bu liao
脱离不了	tuo li bu liao
挽救不了	wan jiu bu liao
细枝末了	xi qi mo liao
向平愿了	xiang ping yuan liao
也快不了	ye kuai bu liao
营业终了	ying ye zhong liao
余情未了	yu qing wei liao
支撑不了	zhi cheng bu liao
支持不了	zhi chi bu liao
总少不了	zong shao bu liao
阻碍不了	zu ai bu liao
阻挡不了	zu dang bu liao
阻止不了	zu zhi bu liao
花心萝卜	hua xin luo bo
空心萝卜	kong xin luo bo
白菜萝卜	bai cai luo bo
毒胡萝卜	dai hu luo bo
青菜萝卜	qing cai luo bo
野胡萝卜	ye hu luo bo
很不称心	hen bu chen xin
事事称心	shi shi chen xin
舒服称心	shu fu chen xin
银行中心	yin hang zhong xin
羞恶之心	xiu wu zhi xin
对称中心	dui chen zhong xin
了然于心	liao ran yu xin
率土归心	shuai tu gui xin
率土宅心	shuai tu zhai xin
缪力同心	lu li tong xin
调剂身心	tiao ji shen xin
调节身心	tiao jie shen xin
摇滚乐手	yao gun yue shou
开始着手	kai shi zhuo shou
立即着手	li ji zhuo shou
小处着手	xiao chu zhuo shou
打不还手	da bu huan shou
校对助手	jiao dui chu shou
用带捆扎	yong dai kun za
五日一石	wu ri yi dan
以升量石	yi sheng liang dan
心拙口夯	xin zhuo kou ben
呼吁呼吁	hu yu hu yu
急切呼吁	ji qie hu yu
控诉呼吁	kong su hu yu
同时呼吁	tong shi hu yu
朝升暮合	zhao sheng mu ge
一明了地	yi ming liao de
不关心地	bu guan xin de
很耐心地	hen nai xin de
